     wave         flux        err
3801.0188    10.346058   5.758895
3801.8933    16.620695   5.438135
  3802.77     8.456974  5.0160108
3803.6448    2.9186816   4.795771
 3804.522     9.816231  4.7944965
3805.3972     8.853763  4.5754795
3806.2727     9.889777   4.423492
3807.1504    15.132142  4.3659134
3808.0261    14.312336  4.1531725
3808.9043     9.337382  3.9820337
3809.7805    5.0987926  3.7745152
 3810.659    5.8937945   3.708249
3811.5356    11.978355  3.7185442
3812.4126     16.88763   3.844397
3813.2917    13.524074  3.7145932
 3814.169     4.937369  3.5338314
3815.0483    1.6752646  3.3636346
 3815.926    16.066105  3.6887436
 3816.806   -0.9182432  3.3111594
 3817.684     4.484797  3.6940892
3818.5623    1.9690917  3.5894601
3819.4429    0.6314123  3.2773502
3820.3215    13.729336  3.4268126
3821.2024    10.269639  3.3492053
3822.0815    5.9005795  3.2459714
 3822.963    15.175997  3.4158132
3823.8423    1.2925601  3.2037957
 3824.724    11.377773  3.4811015
 3825.604     2.955963  3.3433423
3826.4841    3.4076824   3.327749
3827.3665      8.42693  3.3872752
3828.2468     8.694714  3.3589482
3829.1296     7.488184  3.4832058
3830.0105    0.8088305  3.7580457
3830.8938    8.1207485   7.166742
3831.7751    7.2489257  3.8721323
3832.6565    10.572919  3.5140424
3833.5403     5.314719  3.3529894
3834.4224    4.5320573   3.273534
3835.3064      6.03483   3.293566
3836.1887    6.2996736  3.1859784
3837.0735    7.2199893  3.1877007
 3837.956     7.079704   3.143091
 3838.839     6.427621  3.1092377
3839.7244    1.6155423  2.9582016
3840.6077    4.1773677   3.002914
3841.4932    5.8861303   3.407255
 3842.377      3.54173  3.4601748
 3843.263     7.087333   3.444791
3844.1472   13.2148285  3.3754892
3845.0315    10.324898   3.263215
3845.9182    4.7329407  3.0985653
 3846.803    10.453784  3.1391892
  3847.69    1.1915015  2.9190922
3848.5752     9.555018  3.0396543
3849.4626    4.5710335  2.9066455
3850.3481     6.240663  2.9430974
 3851.234    6.9812756  2.9743004
 3852.122    10.122312   3.018838
3853.0083     9.621891  2.9697816
3853.8967     3.158528  2.8512998
3854.7832     9.664163  3.0372922
 3855.672    4.3974347   2.993395
 3856.559     7.793582  3.0584188
3857.4463    5.9836726   2.992481
 3858.336     4.036037  2.9224913
3859.2234   0.67806244   2.808258
3860.1135     4.374736  2.8364074
3861.0015    5.9970613   2.782573
3861.8918     2.346883   2.721204
3862.7803     7.349024  2.7769053
3863.6687    11.824513  2.9181533
3864.5598     7.242178  2.8339722
3865.4487     6.447989   2.891084
  3866.34    12.881502  2.9785395
3867.2297    3.3493657  2.8597698
3868.1213     3.063801  2.8341613
3869.0112     9.226202  2.9374852
3869.9014     9.346137        0.0
3870.7937     9.465868        0.0
 3871.684     9.585396        0.0
 3872.577     9.704721        0.0
3873.4678     9.823844        0.0
 3874.361     9.942767        0.0
3875.2524    10.061488        0.0
3876.1438     10.18001        0.0
3877.0376    10.298332        0.0
3877.9297    10.416455        0.0
3878.8237    10.534381        0.0
 3879.716    10.652108  2.9088838
3880.6108     5.308096  2.8455296
3881.5037      8.50317  2.9317856
3882.3965    7.2077374  2.8844867
3883.2917    6.9965925  2.9550977
 3884.185     7.575832  2.9609585
3885.0808    7.4135346  2.9485667
3885.9746     6.635256  2.8688693
3886.8706     5.577194  2.8219376
 3887.765     5.505852   2.839489
3888.6592     7.530362  2.9709346
 3889.556      6.58774  2.9971025
3890.4507    2.4608028  2.8563263
 3891.348    2.2941551    2.76343
 3892.243     3.333254  2.7658362
3893.1406    7.8630395   2.810408
3894.0361    10.615086  2.8209012
 3894.934    10.243106  2.7918413
  3895.83    11.308258  2.8269308
3896.7263    11.371791  2.8225567
 3897.625    10.464715  2.8423839
3898.5215    7.1687202   2.806608
3899.4207    6.5626636  2.8041975
3900.3176    11.210175  2.7833474
 3901.217    7.2232122  2.6741025
3902.1145    5.1986237  2.7280042
3903.0122      9.45645  2.8616235
 3903.912    11.279446  2.9705753
3904.8103    10.690064  2.9335887
3905.7107    11.720654   2.969655
3906.6094     6.436004  2.9439976
  3907.51   13.0594425  3.0789843
 3908.409    10.246084  2.9710047
 3909.308    10.320501  2.9290535
